(803, 525)
(777, 561)
(766, 575)
(760, 584)
(737, 613)
(733, 618)
(725, 629)
(722, 633)
(712, 647)
(707, 654)
(701, 661)
(694, 666)
(631, 723)
(619, 733)
(595, 752)
(583, 762)
(542, 786)
(530, 794)
(493, 818)
(467, 833)
(410, 864)
(401, 870)
(374, 882)
(355, 890)
(346, 893)
(337, 897)
(322, 902)
(299, 908)
(286, 909)
(276, 909)
(275, 909)
(269, 909)
(266, 909)
(262, 909)
(261, 909)
(260, 909)
(259, 909)
(258, 909)
(257, 909)
(253, 909)
(252, 909)
(251, 909)
(250, 909)
(247, 909)
(245, 909)
(240, 909)
(239, 909)
(233, 911)
(225, 911)
(224, 912)
(218, 913)
(217, 913)
(213, 913)
(210, 914)
(208, 914)
(207, 914)
(205, 914)
(202, 915)
(196, 917)
(185, 920)
(184, 921)
(183, 921)
(178, 924)
(175, 925)
(172, 927)
(171, 928)
(165, 931)
(156, 937)
(153, 938)
(152, 939)
(149, 941)
(146, 941)
(143, 945)
(142, 946)
(140, 946)
(138, 947)
(132, 953)
(132, 954)
(133, 956)
(134, 958)
(136, 961)
(137, 961)
(142, 961)
(145, 961)
(159, 961)
(164, 961)
(166, 961)
(171, 961)
(175, 961)
(186, 961)
(190, 961)
(195, 961)
(198, 961)
(199, 961)
(204, 961)
(205, 961)
(208, 961)
(209, 961)
(213, 961)
(214, 961)
(216, 960)
(218, 960)
(220, 960)
(221, 960)
(224, 960)
(226, 960)
(227, 959)
(229, 959)
(230, 959)
(231, 959)
(232, 959)
(234, 959)
(236, 959)
(237, 959)
(237, 958)
(238, 958)
(240, 958)
(242, 958)
(244, 958)
(245, 958)
(246, 958)
(248, 958)
(249, 958)
(252, 958)
(253, 958)
(254, 958)
(256, 958)
(254, 958)
(250, 958)
(249, 958)
(248, 958)
(246, 958)
(245, 958)
(244, 958)
(241, 958)
(239, 958)
(238, 959)
(235, 959)
(231, 961)
(230, 961)
(229, 962)
(228, 962)
(225, 963)
(222, 963)
(219, 964)
(212, 967)
(208, 969)
(207, 969)
(206, 969)
(205, 970)
(204, 970)
(202, 971)
(200, 971)
(199, 972)
(198, 973)
(196, 974)
(191, 976)
(189, 978)
(185, 979)
(179, 980)
(173, 984)
(172, 984)
(169, 985)
(167, 985)
(162, 988)
(160, 988)
(159, 988)
(158, 988)
(156, 986)
(156, 985)
(156, 984)
(157, 982)
(160, 979)
(162, 976)
(165, 973)
(175, 965)
(180, 962)
(191, 952)
(198, 949)
(223, 932)
(229, 929)
(236, 926)
(251, 916)
(256, 915)
(266, 911)
(269, 908)
(274, 908)
(272, 909)
(270, 909)
(264, 912)
(262, 913)
(258, 913)
(257, 913)
(247, 916)
(243, 916)
(238, 916)
(233, 916)
(228, 916)
(225, 916)
(223, 916)
(218, 916)
(217, 916)
(211, 916)
(210, 916)
(207, 916)
(206, 914)
(207, 914)
(210, 914)
(212, 914)
(216, 914)
(219, 914)
(222, 914)
(223, 915)
(225, 915)
(226, 915)
(227, 915)
(229, 917)
(229, 918)
(228, 918)
(227, 918)
(226, 918)
(224, 918)
(220, 919)
(217, 920)
(216, 920)
(212, 920)
(211, 922)
(206, 922)
(192, 923)
(183, 923)
(181, 923)
(162, 926)
(157, 926)
(155, 926)
(149, 926)
(148, 926)
(149, 926)
(150, 926)
(152, 926)
(154, 926)
(156, 925)
(159, 925)
(160, 925)
(164, 926)
(162, 926)
(160, 926)
(156, 926)
(152, 927)
(151, 927)
(147, 927)
(146, 927)
(144, 928)
(142, 928)
(139, 928)
(137, 928)
(135, 929)
(133, 929)
(134, 929)
(135, 929)
(136, 929)
(138, 929)
(143, 929)
(144, 929)
(146, 929)
(147, 929)
(148, 929)
(150, 929)
(153, 929)
(155, 929)
(157, 929)
(161, 929)
(164, 929)
(168, 929)
(169, 929)
(173, 929)
(175, 929)
(178, 929)
(179, 929)
(181, 929)
(182, 929)
(188, 930)
(190, 930)
(192, 931)
(193, 931)
(197, 931)
(202, 933)
(213, 934)
(232, 936)
(246, 937)
(253, 937)
(256, 937)
(258, 937)
(266, 938)
(269, 938)
(271, 938)
(274, 938)
(277, 938)
(280, 938)
(282, 938)
(287, 938)
(288, 938)
(289, 938)
(290, 938)
(297, 940)
(299, 940)
(302, 940)
(304, 940)
(306, 940)
(307, 940)
(309, 940)
(319, 940)
(320, 940)
(323, 940)
(324, 940)
(326, 940)
(329, 940)
(332, 940)
(335, 940)
(337, 940)
(339, 940)
(344, 940)
(347, 939)
(351, 939)
(353, 939)
(356, 939)
(359, 938)
(360, 938)
(370, 937)
(375, 935)
(380, 934)
(387, 934)
(391, 932)
(398, 931)
(402, 929)
(407, 929)
(411, 928)
(420, 925)
(436, 922)
(441, 921)
(447, 919)
(453, 919)
(459, 918)
(469, 915)
(486, 910)
(492, 908)
(516, 903)
(522, 901)
(538, 895)
(542, 894)
(551, 890)
(556, 887)
(559, 886)
(566, 881)
(568, 879)
(575, 874)
(580, 872)
(583, 868)
(586, 867)
(587, 866)
(588, 865)
(592, 862)
(597, 859)
(602, 854)
(603, 853)
(608, 847)
(609, 845)
(611, 843)
(612, 842)
(612, 841)
(613, 840)
(614, 836)
(614, 834)
(614, 833)
(614, 832)
(614, 828)
(616, 826)
(616, 825)
(616, 823)
(616, 820)
(615, 817)
(613, 811)
(611, 810)
(610, 809)
(609, 806)
(609, 805)
(608, 804)
(606, 800)
(604, 799)
(601, 795)
(596, 790)
(592, 788)
(588, 784)
(583, 780)
(580, 779)
(579, 778)
(574, 774)
(571, 772)
(565, 768)
(564, 767)
(562, 766)
(559, 764)
(549, 757)
(545, 753)
(544, 752)
(543, 750)
(540, 748)
(539, 745)
(534, 740)
(528, 733)
(526, 732)
(523, 729)
(522, 728)
(520, 727)
(515, 724)
(513, 722)
(504, 720)
(496, 718)
(493, 717)
(491, 717)
(490, 717)
(488, 716)
(484, 716)
(483, 716)
(481, 716)
(480, 716)
(479, 716)
(470, 716)
(468, 716)
(464, 716)
(463, 716)
(462, 716)
(459, 716)
(456, 716)
(450, 717)
(448, 717)
(447, 718)
(446, 718)
(445, 718)
(442, 719)
(441, 719)
(439, 719)
(436, 720)
(435, 720)
(428, 724)
(428, 725)
(427, 725)
(426, 726)
(423, 728)
(422, 729)
(417, 733)
(417, 734)
(416, 735)
(415, 736)
(414, 737)
(408, 747)
(408, 748)
(408, 750)
(407, 751)
(407, 752)
(406, 757)
(406, 758)
(403, 765)
(403, 766)
(403, 768)
(403, 769)
(402, 772)
(401, 775)
(401, 781)
(401, 783)
(402, 788)
(402, 789)
(403, 789)
(405, 791)
(408, 799)
(413, 805)
(413, 806)
(414, 807)
(414, 808)
(416, 812)
(417, 812)
(418, 814)
(419, 814)
(421, 817)
(425, 822)
(427, 823)
(429, 824)
(431, 825)
(434, 826)
(436, 827)
(439, 827)
(442, 829)
(442, 830)
(446, 831)
(448, 832)
(449, 833)
(450, 834)
(456, 838)
(457, 839)
(458, 840)
(459, 840)
(460, 840)
(463, 842)
(466, 843)
(472, 846)
(474, 847)
(475, 847)
(476, 848)
(479, 849)
(480, 849)
(483, 850)
(487, 853)
(488, 853)
(489, 853)
(491, 854)
(493, 854)
(496, 855)
(497, 855)
(498, 855)
